address,direction,size,entry_price,liquidation_price,position_value,unrealized_pnl,pnl_percent,margin_used,distance_to_liq_pct,risk_level,account_value,market_type
0x50b32eac260190fc754ae22282fd78fddfceaff8,SHORT,1.68106,89216.9,123687.9648240756,146137.90792,3841.06783,2.6283856698583015,3653.447698,42.28,LOW,67828.574434,HyperCore
0x3bb578528e26d3b4f27f454938c793953357206d,SHORT,1.0,86667.0,91665.1765027161,87031.0,-364.0,-0.4182417759189255,2175.775,5.32,HIGH,5779.991209,HyperCore
0x51ebf5723c2cf262f3d1b40b1d90eb416f9b4867,SHORT,0.75,86162.0,94640.061945679,65217.0,-595.49705,-0.9131009552723982,6650.29704,8.84,MODERATE,24170.285999,HyperCore
0x02aaa417b43f9a23e772276c31c5bd7ed9a682bc,SHORT,0.46714,91215.0,194317.0474730128,40633.23862,1976.95241,4.865357714870724,1015.830965,123.4,LOW,51274.692756,HyperCore
0xb246da0110e37623c5a13fa19d25887b3254eeef,SHORT,0.42695,85051.9,199276.1533252658,37117.75215,-804.84286,-2.168350218912704,12372.58405,129.22,LOW,49332.57846,HyperCore
0x60d4220865e9c107727797bae0e6cd2c299f9c47,SHORT,0.42598,85045.9,191599.9733854079,37017.23602,-789.35557,-2.1324000786377457,12339.078673,120.49,LOW,45901.995157,HyperCore
0x34375f46e69b7bf9ecbf2cc03b6cc772ad66716b,SHORT,0.345,92635.9,414126.9731200573,29998.095,1961.3015,6.538086835180701,749.952375,376.28,LOW,114661.633298,HyperCore
0x8e0b209afe24e941a552af589c0de0872db54f88,SHORT,0.17411,86318.4,90918.6154630498,15139.56094,-110.64828,-0.7308552767052702,888.1522,4.56,HIGH,893.273861,HyperCore
0x64f54376ec452136b8909d82180863f1bd616fe0,SHORT,0.17151,87059.0,94539.0465372569,14926.68681,4.80228,0.032172444301455806,1490.38496,8.63,MODERATE,15616.35439,HyperCore
0x0cd16f3f840852b17db7f47c270bbd1a9d082bf3,SHORT,0.16667,93422.4,346947.8693685386,14515.95698,1054.769138,7.266273518537253,2419.326163,298.36,LOW,45938.542348,HyperCore
0x60b6a9d750bf1ffd6620d58d8f0cacedd09f7b0e,SHORT,0.10015,87681.1,95220.1968158873,8709.54475,71.72045,0.8234695619423736,945.961745,9.49,MODERATE,946.035102,HyperCore
0xd5d648f5e156cc079399e739bbc023db98c66b35,SHORT,0.09148,86388.4,99397.0387320712,7955.74116,-52.92575,-0.6652522868152236,198.893529,14.29,MODERATE,2071.498652,HyperCore
0xa3ce55fefb11eca5fb5de70df83277bf0944435f,SHORT,0.07461,85733.0,888541.9345700525,6494.12901,-97.58988,-1.5027400880045036,324.70645,920.83,LOW,60628.66115,HyperCore
0x7dfaf25ebd74f8f01c9e837058b31697d1b9dd37,SHORT,0.0693,86582.0,104345.6777439296,6029.6544,-29.5218,-0.48961015079073184,301.48272,19.93,LOW,1591.823359,HyperCore
0x5b3e5505d2a3941077cf2484eecda2b2e248e373,SHORT,0.04357,93166.5,135371.2240555145,3789.19576,270.072792,7.127443634635545,1894.59788,55.66,LOW,2182.655025,HyperCore
0x3a14fa9068bf457d8f6f82995cd600dcb341c1d3,SHORT,0.03094,87277.0,148495.532188944,2693.35794,6.99244,0.2596179251243524,67.333948,70.58,LOW,1958.524473,HyperCore
0xd7fe4a6a31a024ad68011373c98aba7f1683ba44,SHORT,0.02042,90669.0,150214.5884572133,1775.86614,75.595988,4.256851701671613,1329.85803,72.73,LOW,22603.747785,HyperCore
0x6c50a9ea578190f188acd4b9210decfe730ed7c4,SHORT,0.02,88318.9,117488.0922962963,1738.9,27.479909,1.5803041578009085,43.4725,35.13,LOW,640.233869,HyperCore
0xa4590bbd3afa12fc83db90073367c9862f08292e,SHORT,0.01727,86840.0,296936.2112562282,1501.21202,-1.48522,-0.09893472608885719,75.060601,241.6,LOW,3690.977453,HyperCore
0x292c790817deaba1747f54905963857763e6567f,SHORT,0.01313,91346.2,1338488.7160305777,1145.11982,54.25696,4.738103301713878,163.588545,1434.72,LOW,16648.916482,HyperCore
0xa9b2ae02cdb81465a1eebac6ce34172b9abb0ff9,SHORT,0.01314,92637.0,100617.2810943871,1143.65304,73.59714,6.435268164897284,194.984422,15.6,LOW,19446.682531,HyperCore
0x23a9f0b21de3bc4d415f9ebfcc703589a82050b2,SHORT,0.01099,90929.0,119746.3642593154,955.61347,43.69624,4.572585189700183,376.84923,37.71,LOW,5636.305451,HyperCore
0x79d0faae755e53ac31300bd5f4f2a70ec50efa50,SHORT,0.00674,86927.7,4362656.774883687,585.95538,-0.062456,-0.010658832076940739,14.648884,4918.18,LOW,29359.64518,HyperCore
0xe9f4a95b966c85380854fdf633b5bd0f339d1cea,SHORT,0.0062,86743.0,7044753.50107527,538.5258,-0.7192,-0.13354977607386684,13.463145,8010.56,LOW,47213.727583,HyperCore
0x84cdbd3d8d65d4c5ccb16d9af5524c44573cb114,SHORT,0.00583,86496.0,798817.2275374288,507.50733,-3.23565,-0.637557294000069,101.501466,817.64,LOW,4362.795912,HyperCore
0x8e765ba6bf611a4fb0894fd618970a601644f86f,SHORT,0.0033,90547.3,92152.7099139544,287.2056,11.6006,4.0391273707755,7.18014,5.88,HIGH,20.699642,HyperCore
0xb2c13b64e7a47938aebba46f24af0c1c12730d9d,SHORT,0.00283,88376.1,121907.5988308686,246.01473,4.08974,1.6623963939069828,12.300736,40.23,LOW,103.296256,HyperCore
0x4ee687ac7a1a109d27b8a09dbf83ad721c44d5e3,SHORT,0.00089,90338.0,286989.0525731724,77.36859,3.03223,3.9192002852837313,1.934214,230.13,LOW,181.24442,HyperCore
0x8871ec2de5973f75afc8b754a834a0f931f54279,SHORT,0.00041,84111.0,131525.8608852755,35.65401,-1.1685,-3.277331217442302,0.89135,51.25,LOW,24.427458,HyperCore
0xbdb14bfc98d8b78a8689a8a09d4642562da52683,SHORT,0.0004,86754.2,780948.9358024691,34.7608,-0.0591,-0.17001910197693954,3.47608,798.65,LOW,281.523519,HyperCore
0x07bdb14831e27cab4b7f3a756de4b29023a01888,SHORT,0.00021,87087.0,221834.9018224574,18.26265,0.02563,0.14034107864959355,0.456566,155.09,LOW,28.904996,HyperCore
