user_address,coin,market_type,direction,size,entry_price,liquidation_price,position_value,unrealized_pnl,pnl_percent,leverage_type,leverage_value,margin_used,distance_to_liq_pct,distance_to_liq_usd,risk_level
0x8af700ba841f30e0a3fcb0ee4c4a9d223e1efa05,BTC,HyperCore,LONG,668.28442,102348.6,63348.4186311366,59905015.4088,-8493020.602847,-14.177478371200591,cross,40,1497625.38522,29.33,26291.58,LOW
0x8af700ba841f30e0a3fcb0ee4c4a9d223e1efa05,ETH,HyperCore,SHORT,1002.5541,2928.66,20057.1820506353,3097992.42441,-161848.86569,-5.224314443597242,cross,25,123919.696976,549.08,16967.08,LOW
0x8af700ba841f30e0a3fcb0ee4c4a9d223e1efa05,SOL,HyperCore,SHORT,101.39,125.09,167082.79324594,13084.3795,-401.5044,-3.0685780705153043,cross,20,654.218975,129371.36,166953.74,LOW
0x8af700ba841f30e0a3fcb0ee4c4a9d223e1efa05,AVAX,HyperCore,SHORT,12091.83,42.1163,1413.1552123662,160192.56384,349071.74701,217.90758487307323,cross,10,16019.256384,10566.93,1399.91,LOW
0x8af700ba841f30e0a3fcb0ee4c4a9d223e1efa05,LTC,HyperCore,SHORT,4006.14,115.1018,4205.3379135158,322766.68752,138347.43564,42.862984623042124,cross,10,32276.668752,5119.61,4124.77,LOW
0x8af700ba841f30e0a3fcb0ee4c4a9d223e1efa05,DOGE,HyperCore,SHORT,1964562.0,0.256875,8.5465916617,265903.4667,238744.763883,89.78625470586992,cross,10,26590.34667,6214.44,8.41,LOW
0x8af700ba841f30e0a3fcb0ee4c4a9d223e1efa05,SUI,HyperCore,SHORT,63739.9,2.31644,260.7859374973,98063.83615,49586.317602,50.56534554303177,cross,10,9806.383615,16850.66,259.25,LOW
0x8af700ba841f30e0a3fcb0ee4c4a9d223e1efa05,CRV,HyperCore,SHORT,441827.7,0.32045,37.8038226261,178370.260767,-36784.128991,-20.62234412442221,cross,10,17837.026076,9264.1,37.4,LOW
0x8af700ba841f30e0a3fcb0ee4c4a9d223e1efa05,LINK,HyperCore,SHORT,98661.2,14.08033,180.6083648662,1294632.2664,94550.273645,7.303253294305502,cross,10,129463.22664,1276.38,167.49,LOW
0x8af700ba841f30e0a3fcb0ee4c4a9d223e1efa05,XRP,HyperCore,SHORT,2651000.0,2.244451,8.3056036694,5090715.3,859326.2038,16.880264425708503,cross,20,254535.765,332.52,6.39,LOW
0x8af700ba841f30e0a3fcb0ee4c4a9d223e1efa05,APT,HyperCore,SHORT,44975.67,8.9921,369.2574615497,83195.994366,321233.453661,386.11649047406496,cross,10,8319.599436,19862.02,367.41,LOW
0x8af700ba841f30e0a3fcb0ee4c4a9d223e1efa05,AAVE,HyperCore,LONG,9916.74,206.7448,,1532433.8322,-517801.019338,-33.78945364281288,cross,10,153243.38322,,,UNKNOWN
0x8af700ba841f30e0a3fcb0ee4c4a9d223e1efa05,WLD,HyperCore,SHORT,753.2,1.2327,21939.4729463457,405.281856,523.187784,129.0923282783229,cross,10,40.528185,4077262.65,21938.93,LOW
0x8af700ba841f30e0a3fcb0ee4c4a9d223e1efa05,kSHIB,HyperCore,SHORT,20000000.0,0.015504,0.802953274,156520.0,153573.632485,98.11757761627908,cross,10,15652.0,10160.07,0.8,LOW
0x8af700ba841f30e0a3fcb0ee4c4a9d223e1efa05,DOT,HyperCore,SHORT,27723.1,3.40486,575.7988811665,55806.6003,38586.73405,69.14367448038222,cross,10,5580.66003,28504.02,573.79,LOW
0x8af700ba841f30e0a3fcb0ee4c4a9d223e1efa05,ADA,HyperCore,SHORT,1720457.0,0.709813,9.9773107043,641128.30105,580075.611843,90.4773055397786,cross,10,64112.830105,2577.39,9.6,LOW
0x8af700ba841f30e0a3fcb0ee4c4a9d223e1efa05,TON,HyperCore,SHORT,116097.7,5.94226,144.0657958199,201301.80203,488580.995481,242.71069138675014,cross,10,20130.180203,8208.77,142.33,LOW
0x8af700ba841f30e0a3fcb0ee4c4a9d223e1efa05,PENDLE,HyperCore,SHORT,155378.0,5.502951,108.4754132241,330287.0146,524750.5073,158.87712326066122,cross,5,66057.40292,5003.04,106.35,LOW
0x8af700ba841f30e0a3fcb0ee4c4a9d223e1efa05,NEAR,HyperCore,SHORT,399140.0,3.29351,43.0437244058,656066.418,658508.737601,100.37226712631404,cross,10,65606.6418,2518.71,41.4,LOW
